hz,head,flow,power,eff
65,197.4513596,0,7.16,0
65,194.2156696,37.07196426,7.8,0.23309882
65,190.8278244,75.13306427,8.91,0.406349669
65,185.5219467,112.0530441,10.1,0.519759448
65,177.9636276,149.2144363,11.45,0.585654413
65,167.7880753,187.062204,12.8,0.619215735
65,155.6678253,224.2736344,14,0.629729238
65,139.2461792,261.2686768,14.9,0.616579638
65,119.8567463,299.1922709,15.8,0.573139817
65,96.0945404,336.1252503,16.5,0.494334274
60,168.9954346,0,5.7,0
60,166.6450291,34.17643261,6.23,0.230853179
60,163.7933366,69.10584683,7.08,0.403722152
60,159.4378747,103.0712721,8.03,0.516795117
60,152.9574254,138.0674032,9.12,0.584751975
60,144.8864945,172.1940354,10.1,0.623777131
60,134.3934647,207.3197922,11,0.639633268
60,120.8423958,241.2808945,11.8,0.623971952
60,104.438196,276.1331109,12.5,0.582602908
60,84.64243393,310.1550232,13.1,0.506058217
55,142.5665317,0,4.45,0
55,140.27388,32.16367579,4.85,0.234912194
55,137.8397141,63.11542358,5.47,0.401631116
55,134.1996174,95.19204331,6.26,0.515326419
55,129.0006612,126.1093801,7.05,0.582713425
55,122.0921318,158.2133896,7.85,0.621392589
55,113.632415,189.1201248,8.55,0.634714883
55,102.2567046,220.9865044,9.15,0.623650486
55,88.26721736,253.2468153,9.68,0.58314007
55,71.86358566,284.0389404,10.1,0.510352453
50,117.9346593,0,3.32,0
50,115.8280144,29.076787,3.69,0.230482775
50,113.9334702,56.96728439,4.13,0.39685477
50,110.918425,86.08007889,4.71,0.511906044
50,106.5167525,115.119339,5.39,0.574489709
50,100.6896144,144.2217887,5.98,0.613224059
50,93.60354614,172.2959686,6.47,0.629459731
50,84.17477493,201.1005326,6.93,0.616831813
50,72.85097249,229.9961938,7.31,0.578819881
50,59.30533753,258.3012879,7.63,0.506991443
40,75.58655014,0,1.78,0
40,74.11514282,23.07635879,1.98,0.218129225
40,72.84074173,46.10419159,2.19,0.387235772
40,70.88803787,69.15827255,2.51,0.493228525
40,68.05252228,92.17114945,2.85,0.555775226
40,64.40174294,115.0224304,3.16,0.591967539
40,59.73617706,138.0787979,3.39,0.614425935
40,53.727631,161.0050019,3.64,0.600123302
40,46.38803406,184.0871613,3.82,0.564509064
40,37.57424011,207.115004,4,0.491299804
30,42.57293988,0,0.81,0
30,41.77865546,17.09044974,0.9,0.200341193
30,41.05339966,34.14698105,0.99,0.357578222
30,39.9145565,52.13300438,1.16,0.45299237
30,38.36126557,69.11584778,1.29,0.519021884
30,36.35636054,86.25811259,1.4,0.565662165
30,33.75272407,103.1990478,1.53,0.574907405
30,30.27185726,121.1362467,1.59,0.582399334
30,26.23198834,138.1279328,1.68,0.544638396
30,21.2906238,155.1678227,1.76,0.47400421
20,18.94629707,0,0.3,0
20,18.67145348,10.99310255,0.32,0.161976959
20,18.33885892,23.08642992,0.35,0.305468096
20,17.88755846,34.06465435,0.415,0.370776132
20,17.18965054,46.11060066,0.44,0.454904219
20,16.36300125,57.16718483,0.47,0.502593336
20,15.16587419,69.04901047,0.52,0.508541475
20,13.81906776,80.07782288,0.54,0.517490114
20,11.93548374,92.06677551,0.56,0.495518354
20,9.780573748,103.2606972,0.58,0.439719986
